,,,,,,
AES,Kilroot,coal/oil,520,1981,,
,Indian Queens,gas oil/kerosene,140,1996,,
,,,,,,
Airtricity,Ardrossan,wind,24,2004,,
,Belfast,wind,20,2005,,
,,,,,,
Alcan,Lynemouth,coal,420,1995,,
,Fort William,hydro,62,1929,,
,Kinlochleven,hydro,30,1907,,
,,,,,,
Baglan Generation Ltd,Baglan Bay,gas turbine,575,2002,,
,,,,,,
Barking Power,Barking,CCGT,"1,000",1994,,
,,,,,,
Beaufort Wind Ltd,Kirkby Moor,wind,5,1993,,
,Taff Ely,wind,9,1993,,
,Glebe House Martletwy,wind,10,1994,,
,Trysglwyn,wind,6,1996,,
,Carno,wind,34,1996,,
,Novar,wind,17,1997,,
,Llyn Alaw,wind,20,1997,,
,Mynydd Gorddu,wind,10,1996,,
,Bein Ghlas,wind,8,1999,,
,Lambrigg,wind,7,2000,,
,Tow Law,wind,2,2001,,
,,,,,,
British Energy,Dungeness B,nuclear,"1,110",1983,,
,Hartlepool,nuclear,"1,210",1984,,
,Heysham1,nuclear,"1,150",1984,,
,Heysham 2,nuclear,"1,250",1988,,
,Hinkley Point B,nuclear,"1,220",1976,,
,Sizewell B,nuclear,"1,188",1995,,
,Hunterston B,nuclear,"1,190",1976,,
,Torness,nuclear,"1,250",1988,,
,Eggborough,coal,"1,960",1967,,
,Bridgewater District Energy,gas,10,2000,,
,Solutia District Energy,gas,10,2000,,
,Sevington,gas,10,2000,,
,Aberdare,gas,10,2002,,
,,,,,,
BNFL British Nuclear Group,Dungeness A,nuclear,450,1965,,
,Oldbury,nuclear,434,1967,,
,Sizewell A,nuclear,420,1966,,
,Wylfa,nuclear,980,1971,,
,Maentwrog,hydro,28,1928,,
,,,,,,
Calpine Corporation,Saltend,CCGT,"1,200",2000,,
,,,,,,
Cemmaes Windfarm Ltd,Cemmaes,wind,15,2002 (3),,
,,,,,,
Centrica,Barry,CCGT,250,1998,,
,Glanford Brigg,CCGT,240,1993,,
,Killingholme,CCGT,650,1994,,
,Kings Lynn,CCGT,340,1996,,
,Peterborough ,CCGT,380,1993,,
,Roosecote,CCGT,229,1991,,
,,,,,,
Cold Northcott Windfarm Ltd,Cold Northcott,wind,7,1993,,
,,,,,,
Citigen (London)  UK Ltd,"Charterhouse St, London",gas/gas oil,31,1995,,
,,,,,,
